"filename", "language", "TypeScript", "Docker", "JSON", "Markdown", "Django HTML", "JavaScript", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\routes.ts.html", "Django HTML", 0, 0, 0, 0, 123, 0, 0, 0, 0, 14, 137
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\screening\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\screening\screening.controller.ts.html", "Django HTML", 0, 0, 0, 0, 252, 0, 0, 0, 0, 14, 266
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\screening\screening.router.ts.html", "Django HTML", 0, 0, 0, 0, 108, 0, 0, 0, 0, 14, 122
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\seat\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\seat\seat.controller.ts.html", "Django HTML", 0, 0, 0, 0, 217, 0, 0, 0, 0, 16, 233
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\seat\seat.router.ts.html", "Django HTML", 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 131
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\user\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\user\user.controller.ts.html", "Django HTML", 0, 0, 0, 0, 453, 0, 0, 0, 0, 14, 467
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\user\user.router.ts.html", "Django HTML", 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 131
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\sorter.js", "JavaScript", 0, 0, 0, 0, 0, 142, 0, 0, 16, 13, 171
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middleware\auth.middlewares.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middleware\authentication\auth.middlewares.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middleware\authentication\authentication.controller.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middleware\authentication\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middleware\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middlewares\auth.middlewares.ts.html", "Django HTML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 14, 167
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\middlewares\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\cinema.model.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\customer.model.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\hall.model.ts.html", "Django HTML", 0, 0, 0, 0, 141, 0, 0, 0, 0, 14, 155
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\index.html", "Django HTML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 18, 171
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\movie.model.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\screening.model.ts.html", "Django HTML", 0, 0, 0, 0, 135, 0, 0, 0, 0, 14, 149
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\seat.model.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\test\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\test\test.model.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\models\user.model.ts.html", "Django HTML", 0, 0, 0, 0, 189, 0, 0, 0, 0, 14, 203
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\authentication\authentication.controller.ts.html", "Django HTML", 0, 0, 0, 0, 219, 0, 0, 0, 0, 14, 233
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\authentication\authentication.router.ts.html", "Django HTML", 0, 0, 0, 0, 90, 0, 0, 0, 0, 14, 104
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\authentication\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\cinema\cinema.controller.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\cinema\cinema.router.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\cinema\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\customer\customer.controller.ts.html", "Django HTML", 0, 0, 0, 0, 330, 0, 0, 0, 0, 14, 344
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\customer\customer.router.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\customer\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\hall\hall.controller.ts.html", "Django HTML", 0, 0, 0, 0, 349, 0, 0, 0, 0, 16, 365
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\hall\hall.router.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\hall\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\movies\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\movies\movie.controller.ts.html", "Django HTML", 0, 0, 0, 0, 164, 0, 0, 0, 0, 15, 179
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\movies\movie.router.ts.html", "Django HTML", 0, 0, 0, 0, 96, 0, 0, 0, 0, 14, 110
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\routes.ts.html", "Django HTML", 0, 0, 0, 0, 123, 0, 0, 0, 0, 14, 137
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\screening\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\screening\screening.controller.ts.html", "Django HTML", 0, 0, 0, 0, 252, 0, 0, 0, 0, 14, 266
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\screening\screening.router.ts.html", "Django HTML", 0, 0, 0, 0, 108, 0, 0, 0, 0, 14, 122
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\seat\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\seat\seat.controller.ts.html", "Django HTML", 0, 0, 0, 0, 217, 0, 0, 0, 0, 16, 233
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\seat\seat.router.ts.html", "Django HTML", 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 131
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\test\index.html", "Django HTML", 0, 0, 0, 0, 139, 0, 0, 0, 0, 17, 156
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\test\test.controller.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\test\test.router.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\test\user.controller.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\test\user.router.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\user\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\user\user.controller.ts.html", "Django HTML", 0, 0, 0, 0, 453, 0, 0, 0, 0, 14, 467
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\user\user.router.ts.html", "Django HTML", 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 131
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\z_old_cinema\cinema.controller.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\z_old_cinema\cinema.router.ts.html", "Django HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 113
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\routes\z_old_cinema\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\utils\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\api\utils\utils.ts.html", "Django HTML", 0, 0, 0, 0, 119, 0, 0, 0, 0, 15, 134
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\app.ts.html", "Django HTML", 0, 0, 0, 0, 182, 0, 0, 0, 0, 15, 197
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\test\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\src\test\testUtils.ts.html", "Django HTML", 0, 0, 0, 0, 183, 0, 0, 0, 0, 14, 197
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\utils\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\utils\utils.ts.html", "Django HTML", 0, 0, 0, 0, 119, 0, 0, 0, 0, 15, 134
"c:\Users\I538959\Documents\kinosystem\kino-backend\package.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 60, 0, 67
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\interfaces\hall.interface.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\interfaces\jwt.interface.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\interfaces\screening.interface.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\interfaces\seat.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\interfaces\user.interface.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\middlewares\auth.middlewares.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\models\hall.model.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\models\movie.model.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\models\screening.model.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 0, 24
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\models\seat.model.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\models\user.model.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\authentication\authentication.controller.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 8, 6, 52
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\authentication\authentication.router.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\customer\customer.controller.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 20, 9, 89
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\customer\customer.router.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\hall\hall.controller.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 65, 6, 96
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\hall\hall.router.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 7, 4, 17
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\movies\movie.controller.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\movies\movie.router.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\routes.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\screening\screening.controller.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 31, 4, 63
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\screening\screening.router.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 7, 2, 15
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\seat\seat.controller.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 45, 1, 52
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\seat\seat.router.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 12, 2, 18
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\user\user.controller.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 3, 12, 130
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\routes\user\user.router.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\api\utils\utils.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\app.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 11, 40
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\test\customer.test.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 6, 28, 203
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\test\movie.test.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\test\screening.test.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\test\testUtils.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\I538959\Documents\kinosystem\kino-backend\src\test\user.test.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 0, 6, 28, 204
"c:\Users\I538959\Documents\kinosystem\kino-backend\tsconfig.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 46, 8, 79
"Total", "-", 1025, 9, 32, 63, 14305, 203, 204, 113, 375, 1653, 17982
